,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Data efetiva,S&P/B3 Ibovespa VIX,,,,,,,,
5/6/2021,25.7,,,,,,,,
5/7/2021,24.01,,,,,,,,
5/10/2021,23.85,,,,,,,,
5/11/2021,24.97,,,,,,,,
5/12/2021,26.94,,,,,,,,
5/13/2021,26.34,,,,,,,,
5/14/2021,24.8,,,,,,,,
5/17/2021,24.8,,,,,,,,
5/18/2021,24.8,,,,,,,,
5/19/2021,24.8,,,,,,,,
5/20/2021,24.8,,,,,,,,
5/21/2021,24.8,,,,,,,,
5/24/2021,23.69,,,,,,,,
5/25/2021,22.62,,,,,,,,
5/26/2021,22.22,,,,,,,,
5/27/2021,21.41,,,,,,,,
5/28/2021,20.82,,,,,,,,
5/31/2021,21.01,,,,,,,,
6/1/2021,20.4,,,,,,,,
6/2/2021,20.49,,,,,,,,
6/4/2021,20.29,,,,,,,,
6/7/2021,20.47,,,,,,,,
6/8/2021,20.7,,,,,,,,
6/9/2021,20.04,,,,,,,,
6/10/2021,20.05,,,,,,,,
6/11/2021,20.41,,,,,,,,
6/14/2021,20.65,,,,,,,,
6/15/2021,20.88,,,,,,,,
6/16/2021,21.57,,,,,,,,
6/17/2021,22.78,,,,,,,,
6/18/2021,22.78,,,,,,,,
6/21/2021,22.78,,,,,,,,
6/22/2021,22.58,,,,,,,,
6/23/2021,21.66,,,,,,,,
6/24/2021,21.19,,,,,,,,
6/25/2021,22.07,,,,,,,,
6/28/2021,24.49,,,,,,,,
6/29/2021,23.44,,,,,,,,
6/30/2021,22.98,,,,,,,,
7/1/2021,23.31,,,,,,,,
7/2/2021,21.99,,,,,,,,
7/5/2021,21.28,,,,,,,,
7/6/2021,22.1,,,,,,,,
7/7/2021,21.02,,,,,,,,
7/8/2021,23.75,,,,,,,,
7/12/2021,21.78,,,,,,,,
7/13/2021,23.26,,,,,,,,
7/14/2021,21.24,,,,,,,,
7/15/2021,22.2,,,,,,,,
7/16/2021,21.6,,,,,,,,
7/19/2021,25.12,,,,,,,,
7/20/2021,24.45,,,,,,,,
7/21/2021,22.97,,,,,,,,
7/22/2021,22.23,,,,,,,,
7/23/2021,22.22,,,,,,,,
7/26/2021,21.92,,,,,,,,
7/27/2021,23.48,,,,,,,,
7/28/2021,22.47,,,,,,,,
7/29/2021,22.47,,,,,,,,
7/30/2021,24.35,,,,,,,,
8/2/2021,23.68,,,,,,,,
8/3/2021,23.68,,,,,,,,
8/4/2021,24.26,,,,,,,,
8/5/2021,23.32,,,,,,,,
8/6/2021,22.17,,,,,,,,
8/9/2021,21.9,,,,,,,,
8/10/2021,21.32,,,,,,,,
8/11/2021,21.05,,,,,,,,
8/12/2021,22.14,,,,,,,,
8/13/2021,23.06,,,,,,,,
8/16/2021,23.06,,,,,,,,
8/17/2021,26.59,,,,,,,,
8/18/2021,26.19,,,,,,,,
8/19/2021,27.4,,,,,,,,
8/20/2021,26.17,,,,,,,,
8/23/2021,25.17,,,,,,,,
8/24/2021,22.89,,,,,,,,
8/25/2021,22.85,,,,,,,,
8/26/2021,23.23,,,,,,,,
