data,valor_ipca,valor_selic,valor_producao_industrial,valor_spread_credito,valor_indice_volatilidade,valor_curva_juros_slope
2021-05,10.4283749512777,3.28854966803307,24.143574356992,14.42,21.01,2.0399680073126145
2021-06,6.54878225389852,3.78408599618558,12.1256179440192,14.34,22.98,1.663217550274223
2021-07,12.1477294656626,4.40657079419022,1.41449378692198,14.49,24.35,1.2998354661791591
2021-08,10.9541657203701,5.28380019408186,-0.551286658460737,14.35,23.66,1.403788848263254
2021-09,14.8428434252391,5.40966873236182,-4.06851986343755,14.34,26.69,1.4118281535648993
2021-10,16.0748442521055,6.04108303876956,-7.81156150033876,15.07,26.58,-0.26043418647166305
2021-11,12.0158408791928,7.31432488907429,-4.35303265571089,15.25,31.05,-0.2263528336380265
2021-12,9.11987178567511,9.64153389671201,-4.95077034295477,15.7,24.84,-0.5303062157221206
2022-01,6.67633381473094,9.12041460123694,-5.57822037411495,16.21,24.78,-0.3744881170018264
2022-02,12.8172818990948,9.51104064082937,-2.58776155711689,16.76,25.82,-0.2972184430934046
2022-03,21.2698540054663,11.7489057098582,-1.93670483555679,16.94,19.73,-0.2953785478308504
2022-04,13.4886576682489,10.4274913828344,-0.0961650428192629,17.24,25.7,-0.20016100756020272
2022-05,5.78819429390485,13.0848004136224,-0.286597599507143,17.09,22.03,-0.15102400358128065
2022-06,8.34373754718536,12.9505552292121,-0.602736210904264,17.51,27.12,-0.1564326434200236
2022-07,-7.86166674485757,13.0848004136224,-0.358137058658059,18.39,21.43,-0.030293076785820716
2022-08,-4.23493895265992,14.9796546637731,1.75573706071193,18.57,28.67,-0.167016018110985
2022-09,-3.42544130667963,13.6232450381824,-0.977495953481355,18.74,34.34,0.14558834681496613
2022-10,7.31532851511913,12.9505552292121,1.23749539416613,19.9,26.62,-0.018529653393207113
2022-11,5.03198407363006,12.9505552292121,0.818769627936855,19.84,26.26,-0.3543123438708129
2022-12,7.69861385616937,14.2996054499739,-0.376289564522103,18.85,25.06,0.08857983777434164
2023-01,6.5481827860699,14.2996054499739,0.298223882498161,19.79,21.83,0.27676712328767117
2023-02,10.5588720767509,11.6161150269126,-2.60891660654919,20.19,22.59,0.6463698630136996
2023-03,8.86114267031259,14.9796546637731,1.02740091558327,20.3,24.67,0.7962123287671226
2023-04,7.57084542901982,11.6161150269126,-2.74216360137239,21.29,20.93,0.3668150684931497
2023-05,2.79426197628063,14.2996054499739,2.01959565228953,21.42,22.47,0.25593835616438376
2023-06,-0.955390349226415,13.6232450381824,0.0887253133259991,21.16,20.5,0.21269178082191686
2023-07,1.44918792536044,13.6232450381824,-1.5275252351559,20.94,19.98,0.5368219178082185
2023-08,2.79587299464206,14.5711814573743,0.49068838167392,20.59,18.87,0.7763493150684937
2023-09,3.16564641479407,12.2815179047249,0.676104181141923,20.36,18.05,1.0046917808219185
2023-10,2.91803052394473,12.682503013197,1.08778840477035,19.91,21.42,0.7865753424657527
2023-11,3.41280629958667,11.6161150269126,1.42018951379117,19.94,16.84,0.6881849315068482
2023-12,6.93106296251056,11.2186103609413,0.850417650475599,19.45,16.33,0.6269178082191793
2024-01,5.15848984604741,12.2815179047249,3.71278722328607,19.27,17.24,0.8938356164383556
2024-02,10.4266651810235,10.0338693716146,5.64391720651898,19.28,16.42,0.9395479452054794
2024-03,1.93643938270665,10.4274913828344,-2.90278779073131,19.33,14.48,1.0202328767123277
2024-04,4.65602397148148,11.2186103609413,8.35140134031565,19.06,16.87,1.1184178082191778
2024-05,5.66216677237277,10.4274913828344,-1.17520839137498,18.79,16.4,0.9192397260273957
2024-06,2.54991062575189,9.90294812054378,3.24369047671627,18.54,15.13,0.6424863013698641
2024-07,4.65692926757577,11.4834690032744,6.13108032799936,18.53,14.7,0.22485616438356004
2024-08,-0.239121330447922,10.954328638178,2.30223870704209,18.46,17.24,0.10845890410958958
2024-09,5.40919871618069,10.5589852792566,3.26033243697414,18.27,19.97,-0.021130136986302617
2024-10,6.93015192549231,11.7489057098582,6.12172830373878,18.27,17.46,-0.15967123287671114
2024-11,4.78140224876864,9.90294812054378,1.74922815154634,18.42,15.7,-0.40873287671232816
2024-12,6.42130538475323,11.7489057098582,1.39881850373857,17.52,16.2,-0.6627191780821917
2025-01,1.936848836895,12.8164561439235,1.3048268888417,18.38,14.23,0.040417236662106504
2025-02,16.9044750625404,12.5486956926017,1.23100686025637,19.31,16.3,0.24320547945205462
2025-03,6.93121312303742,12.1481471492246,3.5102099777814,19.37,16.49,0.1403630136986287
2025-04,5.2846450679344,13.4884140091117,-0.467054347713824,19.98,17.46,0.43458904109589014
2025-05,3.16517395669631,14.5711814573743,3.3769750934066,20.4,16.7,0.1554589041095884
2025-06,2.91847309388833,14.0286196499853,-1.34551328102356,20.6,15.34,0.030999999999998806
2025-07,3.16437649841437,16.4888377232938,0.250103923462341,20.4,15.36,0.1661301369863022
2025-08,-1.31282291004573,14.8433488405669,-0.746330086913716,20.61,14.84,0.4365821917808219
2025-09,5.91370003159901,15.6634109599371,1.98492094631524,20.37,14.85,0.20400684931506774
2025-10,1.08484265233892,16.4888377232938,-0.411376128790186,20.75,14.2,0.5096369863013681
2025-11,2.1818079482526,13.3537296586903,-1.41750238219429,21.45,16.19,0.5552945205479443
2025-12,4.03258586487909,15.6634109599371,-0.141071353177902,21.11,16.54,0.6574726027397269
2026-01,4.03252647779455,14.8433488405669,0.236209031410306,21.76,20.5,0.7431489071038246
2026-02,8.73036144984514,12.682503013197,-0.738615124716635,22.11,21.15,0.8789450786033051
2026-03,11.0861416443791,15.5263622539225,4.2843468912098,21.92,25.92,0.1925494774730332
