data,valor
2004-12-31,-0.3528506375227707
2005-01-03,-0.3499544626593831
2005-01-04,-0.3489890710382504
2005-01-05,-0.30205828779599386
2005-01-06,-0.2946721311475393
2005-01-07,-0.25467213114754017
2005-01-10,-0.23311475409835936
2005-01-11,-0.27765938069216745
2005-01-12,-0.3026320582877986
2005-01-13,-0.26967213114754074
2005-01-14,-0.2753096539162101
2005-01-17,-0.3110473588342444
2005-01-18,-0.32914389799635657
2005-01-19,-0.34081967213114694
2005-01-20,-0.2957832422586506
2005-01-21,-0.43925318761384347
2005-01-24,-0.4540892531876146
2005-01-25,-0.651229508196721
2005-01-26,-0.680236794171222
2005-01-27,-0.672067395264115
2005-01-28,-0.7254098360655767
2005-01-31,-0.7372404371584693
2005-02-01,-0.6682149362477219
2005-02-02,-0.6540983606557376
2005-02-03,-0.5917486338797815
2005-02-04,-0.6200637522768666
2005-02-09,-0.5691803278688532
2005-02-10,-0.6501821493624789
2005-02-11,-0.624608378870672
2005-02-14,-0.5721129326047354
2005-02-15,-0.6227049180327846
2005-02-16,-0.5061095890410954
2005-02-17,-0.5045205479452086
2005-02-18,-0.5809726027397275
2005-02-21,-0.5668767123287672
2005-02-22,-0.5907534246575317
2005-02-23,-0.5803287671232873
2005-02-24,-0.5784657534246556
2005-02-25,-0.46636986301369987
2005-02-28,-0.48704109589041167
2005-03-01,-0.5021917808219207
2005-03-02,-0.5589452054794535
2005-03-03,-0.5571095890410973
2005-03-04,-0.5055479452054783
2005-03-07,-0.48412328767123114
2005-03-08,-0.4825068493150688
2005-03-09,-0.5460958904109603
2005-03-10,-0.5767534246575359
2005-03-11,-0.6395753424657542
2005-03-14,-0.5930136986301342
2005-03-15,-0.583000000000002
2005-03-16,-0.5650821917808209
2005-03-17,-0.6424520547945178
2005-03-18,-0.7192739726027391
2005-03-21,-0.7587260273972625
2005-03-22,-0.6703287671232907
2005-03-23,-0.6213698630136975
2005-03-24,-0.5263013698630132
2005-03-28,-0.5112191780821931
2005-03-29,-0.46376712328767056
2005-03-30,-0.4696712328767134
2005-03-31,-0.45287671232877
2005-04-01,-0.4211506849315043
2005-04-04,-0.41654794520547966
2005-04-05,-0.4076027397260269
2005-04-06,-0.5759178082191774
2005-04-07,-0.411945205479455
2005-04-08,-0.4763698630136979
2005-04-11,-0.5217534246575326
2005-04-12,-0.4475890410958918
2005-04-13,-0.5106164383561662
2005-04-14,-0.5229999999999997
2005-04-15,-0.4496301369863005
2005-04-18,-0.444452054794521
2005-04-19,-0.3724520547945218
2005-04-20,-0.3500000000000014
2005-04-22,-0.3264246575342469
2005-04-25,-0.3362876712328777
2005-04-26,-0.3349452054794533
2005-04-27,-0.3336027397260253
2005-04-28,-0.37294520547945353
2005-04-29,-0.3714383561643828
2005-05-02,-0.4136164383561649
2005-05-03,-0.37205479452054746
2005-05-04,-0.3771369863013696
2005-05-05,-0.38216438356164417
2005-05-06,-0.3477671232876709
2005-05-09,-0.4211643835616421
2005-05-10,-0.41938356164383706
2005-05-11,-0.3919041095890421
2005-05-12,-0.38383561643835407
2005-05-13,-0.3312328767123276
2005-05-16,-0.3646849315068508
2005-05-17,-0.30049315068493243
2005-05-18,-0.3365753424657534
2005-05-19,-0.35371232876712355
2005-05-20,-0.3274383561643859
2005-05-23,-0.3596575342465762
2005-05-24,-0.3459041095890427
2005-05-25,-0.31413698630137077
2005-05-27,-0.35319178082191627
2005-05-30,-0.2597808219178077
2005-05-31,-0.3173424657534234
2005-06-01,-0.29246575342465775
2005-06-02,-0.2678082191780824
2005-06-03,-0.16804109589040905
2005-06-06,-0.25134246575342445
2005-06-07,-0.09505524861878811
2005-06-08,-0.11859116022099414
2005-06-09,-0.09732044198895196
2005-06-10,-0.07944751381215553
2005-06-13,-0.22127071823204503
2005-06-14,-0.1873204419889518
2005-06-15,-0.16226519337016754
2005-06-16,-0.20602209944751237
2005-06-17,-0.00491712707182046
2005-06-20,-0.21044198895027932
2005-06-21,-0.18839779005524804
2005-06-22,-0.1889226519337015
2005-06-23,-0.17953038674033195
2005-06-24,-0.207900552486187
2005-06-27,-0.23522099447513511
2005-06-28,-0.2340055248618782
2005-06-29,-0.31248618784530535
2005-06-30,-0.24091160220994823
2005-07-01,-0.26926630434782695
2005-07-04,-0.274673913043479
2005-07-05,-0.2731521739130436
2005-07-06,-0.2813315217391299
2005-07-07,-0.2508152173913061
2005-07-08,-0.2589945652173924
2005-07-11,-0.25459239130434597
2005-07-12,-0.234375
2005-07-13,-0.24233695652173637
2005-07-14,-0.25945652173913203
2005-07-15,-0.23029891304347672
2005-07-18,-0.21717391304348155
2005-07-19,-0.22486413043478137
2005-07-20,-0.2235054347826093
2005-07-21,-0.2221467391304337
2005-07-22,-0.1766304347826093
2005-07-25,-0.18203804347826136
2005-07-26,-0.39436141304348027
2005-07-27,-0.5361548913043492
2005-07-28,-0.6526358695652199
2005-07-29,-0.6805027173913025
2005-08-01,-0.7894972826086963
2005-08-02,-0.7623097826086962
2005-08-03,-0.8426358695652176
2005-08-04,-0.8890624999999979
2005-08-05,-0.9288722826086975
2005-08-08,-0.9140896739130433
2005-08-09,-0.9280842391304347
2005-08-10,-0.9451630434782601
2005-08-11,-0.8645923913043454
2005-08-12,-0.9334103260869533
2005-08-15,-0.913233695652174
2005-08-16,-0.8878668478260892
2005-08-17,-0.8886820652173917
2005-08-18,-0.8309239130434776
2005-08-19,-0.7933288043478264
2005-08-22,-0.6729755434782589
2005-08-23,-0.8844021739130454
2005-08-24,-0.9344701086956491
2005-08-25,-0.7561005434782615
2005-08-26,-0.8363043478260863
2005-08-29,-0.6740081521739114
2005-08-30,-0.6943750000000009
2005-08-31,-0.7747961956521756
2005-09-01,-0.745271739130434
2005-09-02,-0.5813315217391306
2005-09-05,-0.6842255434782594
2005-09-06,-0.6701222826086948
2005-09-08,-0.6893478260869585
2005-09-09,-0.7103804347826106
2005-09-12,-0.8781657608695639
2005-09-13,-0.866508152173914
2005-09-14,-0.9566440217391303
2005-09-15,-1.0153804347826103
2005-09-16,-1.3546739130434773
2005-09-19,-1.5378125000000011
2005-09-20,-1.5828260869565227
2005-09-21,-1.5072010869565204
2005-09-22,-1.4307472826086975
2005-09-23,-1.2408967391304344
2005-09-26,-1.311671195652174
2005-09-27,-1.2600135869565214
2005-09-28,-0.9527309782608704
2005-09-29,-1.1076902173913012
2005-09-30,-1.1409782608695629
2005-10-03,-1.1271331521739114
2005-10-04,-1.135747282608694
2005-10-05,-1.0880842391304348
2005-10-06,-1.1018885869565231
2005-10-07,-1.07798913043478
2005-10-10,-1.0552038043478262
2005-10-11,-1.0278124999999996
2005-10-13,-1.048383152173912
2005-10-14,-0.6251222826086931
2005-10-17,-0.7072010869565197
2005-10-18,-1.045516304347828
2005-10-19,-1.0568342391304348
2005-10-20,-0.8785054347826069
2005-10-21,-0.8693750000000016
2005-10-24,-0.7693478260869568
2005-10-25,-0.7480434782608683
2005-10-26,-0.7203532608695653
2005-10-27,-0.7515353260869588
2005-10-28,-0.6806250000000027
2005-10-31,-0.6935461956521713
2005-11-01,-0.6057608695652128
2005-11-03,-0.656997282608696
2005-11-04,-0.6621874999999982
2005-11-07,-0.6362771739130437
2005-11-08,-0.5994293478260886
2005-11-09,-0.5470652173913066
2005-11-10,-0.5859782608695632
2005-11-11,-0.5785190217391332
2005-11-14,-0.48759510869565403
2005-11-16,-0.49343749999999886
2005-11-17,-0.4469293478260852
2005-11-18,-0.5474592391304327
2005-11-21,-0.8418206521739151
2005-11-22,-0.6682744565217362
2005-11-23,-0.585108695652174
2005-11-24,-0.7365896739130413
2005-11-25,-0.5737635869565239
2005-11-28,-0.6054891304347834
2005-11-29,-0.5688451086956547
2005-11-30,-0.6015353260869567
2005-12-01,-0.5115489130434803
2005-12-02,-0.4476358695652216
2005-12-05,-0.41020380434782666
2005-12-06,-0.4864809782608681
2005-12-07,-0.42130434782608717
2005-12-08,-0.3829891304347868
2005-12-09,-0.4400679347826113
2005-12-12,-0.3846059782608684
2005-12-13,-0.40460597826086797
2005-12-14,-0.3506929347826109
2005-12-15,-0.23338315217391425
2005-12-16,-0.5160054347826097
2005-12-19,-0.558247282608697
2005-12-20,-0.47187499999999716
2005-12-21,-0.4219836956521732
2005-12-22,-0.44135869565217334
2005-12-23,-0.48770380434782545
2005-12-26,-0.5129211956521758
2005-12-27,-0.5063586956521728
2005-12-28,-0.4745652173913033
2005-12-29,-0.4333967391304352
2005-12-30,-0.32203804347826015
2006-01-02,-0.35364010989010985
2006-01-03,-0.3475274725274726
2006-01-04,-0.4563461538461553
2006-01-05,-0.5933241758241774
2006-01-06,-0.5024450549450545
2006-01-09,-0.4683241758241756
2006-01-10,-0.5579945054945057
2006-01-11,-0.4637499999999992
2006-01-12,-0.4707829670329673
2006-01-13,-0.5535164835164839
2006-01-16,-0.46413461538461576
2006-01-17,-0.46733516483516624
2006-01-18,-0.4104807692307695
2006-01-19,-0.5161950549450545
2006-01-20,-0.348571428571427
2006-01-23,-0.33965659340659293
2006-01-24,-0.3393406593406585
2006-01-25,-0.3857692307692311
2006-01-26,-0.3618818681318672
2006-01-27,-0.380879120879122
2006-01-30,-0.3836675824175835
2006-01-31,-0.4464285714285712
2006-02-01,-0.4884615384615394
2006-02-02,-0.4712499999999995
2006-02-03,-0.4876648351648356
